日期,收盘,开盘,高,低,交易量,涨跌幅
2000年9月24日,143.62,145.94,146.33,142.12,38.58M,-1.14%
2000年10月1日,141.06,144.28,145.75,139.75,35.60M,-1.78%
2000年10月8日,137.56,141.31,141.31,132.78,45.09M,-2.48%
2000年10月15日,139.91,137.41,141.19,130.16,40.53M,1.71%
2000年10月22日,139.28,139.94,141.94,134.03,39.29M,-0.45%
2000年10月29日,142.78,138.44,143.91,138.16,41.24M,2.51%
2000年11月5日,136.62,143.16,144.3,136.53,34.60M,-4.31%
2000年11月12日,136.64,135.62,140.11,133.02,47.03M,0.01%
2000年11月19日,134.84,135.75,136.38,132.12,22.29M,-1.32%
2000年11月26日,132.22,136.47,136.69,129.75,37.03M,-1.94%
2000年12月3日,133.97,131.88,139.12,131.5,45.57M,1.32%
2000年12月10日,130.97,137.38,139.56,130.56,34.34M,-2.24%
2000年12月17日,130.94,132.06,134.97,125.53,51.36M,-0.02%
2000年12月24日,131.19,130.84,134.28,130.28,26.65M,0.19%
2000年12月31日,129.19,132,136,127.56,50.30M,-1.52%
2001年1月7日,132,129.88,133.72,127.69,35.56M,2.18%
2001年1月14日,134.02,132,136.19,131.52,32.33M,1.53%
2001年1月21日,135.88,134.25,137.31,133.56,39.67M,1.39%
2001年1月28日,134.8,135.5,138.7,134.75,40.00M,-0.79%
2001年2月4日,131.84,134.8,136.7,131.26,33.06M,-2.20%
2001年2月11日,130.4,131.7,134.17,129.3,33.16M,-1.09%
2001年2月18日,124.96,131.04,131.14,121.8,58.13M,-4.17%
2001年2月25日,123.61,125.8,127.84,121.75,64.99M,-1.08%
2001年3月4日,123.36,124.15,127.75,123.11,34.66M,-0.20%
2001年3月11日,115.01,122.34,122.5,114.81,115.63M,-6.77%
2001年3月18日,114.48,115.76,118.46,108.04,85.65M,-0.46%
2001年3月25日,116.69,115.7,118.65,112.14,55.03M,1.93%
2001年4月1日,113.3,116.3,117.38,109.3,74.75M,-2.91%
2001年4月8日,118.85,114,118.99,112.78,48.88M,4.90%
2001年4月15日,124.5,118.29,126,116.91,72.21M,4.75%
2001年4月22日,125.78,123.65,125.84,120.95,45.39M,1.03%
2001年4月29日,127.34,126.45,127.69,123.44,52.99M,1.24%
2001年5月6日,125.15,126.86,127.5,124.4,38.26M,-1.72%
2001年5月13日,129.74,124.9,130.08,124.46,51.12M,3.67%
2001年5月20日,128.1,129.84,132.09,127.9,47.54M,-1.26%
2001年5月27日,126.73,128.23,128.35,125,37.78M,-1.07%
2001年6月3日,127,126.8,129.23,126.08,42.35M,0.21%
2001年6月10日,121.85,126.71,126.99,120.4,53.44M,-4.06%
2001年6月17日,122.85,121.65,124.31,120.89,52.37M,0.82%
2001年6月24日,122.6,123.28,124.01,120.57,46.61M,-0.20%
2001年7月1日,119.05,122.8,124.32,119.05,29.01M,-2.90%
2001年7月8日,122.24,119.49,122.32,117.09,54.79M,2.68%
2001年7月15日,121.34,121.77,122.98,119.83,38.88M,-0.74%
2001年7月22日,120.81,121.8,121.88,116.75,53.84M,-0.44%
2001年7月29日,121.94,121.19,123.25,120.3,54.30M,0.94%
2001年8月5日,119.29,121.35,121.51,117.34,57.89M,-2.17%
2001年8月12日,116.75,119.6,120.35,116.01,51.47M,-2.13%
2001年8月19日,119.02,116.8,119.13,115.78,57.09M,1.94%
2001年8月26日,114.15,118.97,119.2,112.04,69.34M,-4.09%
2001年9月2日,108.72,113.85,116.17,108.63,100.74M,-4.76%
2001年9月9日,110.05,107.7,110.35,107.7,23.41M,1.22%
2001年9月16日,97.28,101,106.4,93.8,183.19M,-11.60%
2001年9月23日,104.44,99.73,104.6,99.06,111.93M,7.36%
2001年9月30日,107.23,103.9,108.97,102.83,134.87M,2.67%
2001年10月7日,109.5,106.28,110.3,105.52,103.32M,2.12%
2001年10月14日,107.35,108.63,111.15,106.01,99.80M,-1.96%
2001年10月21日,110.32,107.3,111.79,106.74,101.83M,2.77%
2001年10月28日,109.25,110.16,110.55,105.56,120.46M,-0.97%
2001年11月4日,112.72,110.12,114.08,109.85,97.71M,3.18%
2001年11月11日,114.36,111,115.4,110,96.65M,1.45%
2001年11月18日,115.68,114.92,115.85,113.51,48.09M,1.15%
2001年11月25日,114.05,115.75,116.9,113,84.19M,-1.41%
2001年12月2日,116.56,113.65,118,113.01,94.55M,2.20%
2001年12月9日,113.13,115.85,116.39,112,86.63M,-2.94%
2001年12月16日,114.95,112.99,115.92,112.9,76.67M,1.61%
2001年12月23日,116,114.83,116.75,114.61,36.04M,0.91%
2001年12月30日,117.62,116.15,117.98,113.81,69.16M,1.40%
2002年1月6日,114.94,117.7,117.99,114.7,68.94M,-2.28%
2002年1月13日,113.15,114.65,115.39,112.67,84.34M,-1.56%
2002年1月20日,113.55,113.75,114.25,112.02,49.10M,0.35%
2002年1月27日,112.65,113.9,114.19,108.4,108.79M,-0.79%
2002年2月3日,110.09,112.23,112.23,108,130.26M,-2.27%
