日期,收盘,开盘,高,低,交易量,涨跌幅
2014年5月22日,189.59,189.18,189.98,188.86,61.55M,0.24%
2014年5月23日,190.35,189.76,190.48,189.59,60.16M,0.40%
2014年5月27日,191.52,191.06,191.58,190.95,72.01M,0.61%
2014年5月28日,191.38,191.52,191.82,191.06,66.72M,-0.07%
2014年5月29日,192.37,191.82,192.4,191.33,64.38M,0.52%
2014年5月30日,192.68,192.19,192.8,192.03,76.32M,0.16%
2014年6月2日,192.9,192.95,192.99,191.97,64.66M,0.11%
2014年6月3日,192.8,192.43,192.9,192.25,65.05M,-0.05%
2014年6月4日,193.19,192.47,193.3,192.26,55.53M,0.20%
2014年6月5日,194.45,193.41,194.65,192.7,92.10M,0.65%
2014年6月6日,195.38,194.87,195.43,194.78,78.70M,0.48%
2014年6月9日,195.58,195.35,196.05,195.17,65.12M,0.10%
2014年6月10日,195.6,195.34,195.64,194.92,57.13M,0.01%
2014年6月11日,194.92,194.9,195.12,194.48,68.77M,-0.35%
2014年6月12日,193.54,194.69,194.8,193.11,106.35M,-0.71%
2014年6月13日,194.13,193.92,194.32,193.3,82.02M,0.30%
2014年6月16日,194.29,193.89,194.7,193.66,87.42M,0.08%
2014年6月17日,194.83,194.02,194.97,193.81,84.83M,0.28%
2014年6月18日,196.25,194.83,196.37,194.4,105.27M,0.73%
2014年6月19日,196.48,196.43,196.6,195.8,85.93M,0.12%
2014年6月20日,195.94,196.03,196.1,195.7,100.59M,-0.27%
2014年6月23日,195.88,195.99,196.05,195.52,70.61M,-0.03%
2014年6月24日,194.7,195.53,196.5,194.48,96.24M,-0.60%
2014年6月25日,195.58,194.29,195.78,194.25,82.78M,0.45%
2014年6月26日,195.44,195.61,195.63,194.13,84.31M,-0.07%
2014年6月27日,195.82,194.98,195.88,194.88,71.45M,0.19%
2014年6月30日,195.72,195.7,196.16,195.53,70.50M,-0.05%
2014年7月1日,197.03,196.2,197.63,196.13,90.47M,0.67%
2014年7月2日,197.23,197.05,197.48,196.96,52.47M,0.10%
2014年7月3日,198.2,197.79,198.29,197.64,52.94M,0.49%
2014年7月7日,197.51,197.82,197.98,197.22,61.70M,-0.35%
2014年7月8日,196.24,197.15,197.22,195.76,108.14M,-0.64%
2014年7月9日,197.12,196.73,197.29,196.31,72.99M,0.45%
2014年7月10日,196.34,195.22,196.86,195.06,99.04M,-0.40%
2014年7月11日,196.61,196.22,196.75,195.78,64.24M,0.14%
2014年7月14日,197.6,197.61,197.86,197.44,58.66M,0.50%
2014年7月15日,197.23,197.72,198.1,196.36,111.35M,-0.19%
2014年7月16日,197.96,198.11,198.26,197.42,80.07M,0.37%
2014年7月17日,195.71,197.35,198.1,195.43,145.40M,-1.14%
2014年7月18日,197.71,196.35,197.91,196.24,124.33M,1.02%
2014年7月21日,197.34,197.09,197.5,196.43,67.59M,-0.19%
2014年7月22日,198.2,198.01,198.56,197.87,67.68M,0.44%
2014年7月23日,198.64,198.5,198.85,198.1,65.61M,0.22%
2014年7月24日,198.65,198.83,199.06,198.45,56.89M,0.01%
2014年7月25日,197.72,198.09,198.26,197.33,76.84M,-0.47%
2014年7月28日,197.8,197.76,198.09,196.62,69.26M,0.04%
2014年7月29日,196.95,198.17,198.45,196.92,80.47M,-0.43%
2014年7月30日,196.98,197.65,197.91,196.16,104.22M,0.02%
2014年7月31日,193.09,195.61,195.78,192.97,183.48M,-1.97%
2014年8月1日,192.5,192.56,193.76,191.57,189.26M,-0.31%
2014年8月4日,193.89,192.87,194.3,192.05,91.34M,0.72%
2014年8月5日,192.01,193.1,193.6,191.31,152.69M,-0.97%
2014年8月6日,192.07,191.11,192.89,191.08,94.82M,0.03%
2014年8月7日,191.03,192.94,193.13,190.55,135.73M,-0.54%
2014年8月8日,193.24,191.46,193.37,190.95,117.01M,1.16%
2014年8月11日,193.79,193.97,194.66,193.71,74.54M,0.28%
2014年8月12日,193.53,193.61,194.15,192.94,73.63M,-0.13%
2014年8月13日,194.84,194.29,195.06,193.96,69.05M,0.68%
2014年8月14日,195.76,195.16,195.76,194.98,57.37M,0.47%
2014年8月15日,195.72,196.47,196.65,194.31,139.95M,-0.02%
2014年8月18日,197.36,196.8,197.45,196.69,75.42M,0.84%
2014年8月19日,198.39,197.84,198.54,197.44,59.13M,0.52%
2014年8月20日,198.92,198.12,199.16,198.08,72.76M,0.27%
2014年8月21日,199.5,199.09,199.76,198.93,67.79M,0.29%
2014年8月22日,199.19,199.34,199.69,198.74,76.11M,-0.16%
2014年8月25日,200.2,200.14,200.59,199.15,63.86M,0.51%
2014年8月26日,200.33,200.33,200.82,200.28,47.30M,0.06%
2014年8月27日,200.25,200.43,200.57,199.94,47.87M,-0.04%
2014年8月28日,200.14,199.59,200.27,199.39,58.33M,-0.05%
2014年8月29日,200.71,200.45,200.73,199.82,65.91M,0.28%
2014年9月2日,200.61,200.97,201,199.86,72.43M,-0.05%
2014年9月3日,200.5,201.38,201.41,200.22,57.46M,-0.05%
2014年9月4日,200.21,200.84,201.58,199.66,85.24M,-0.14%
2014年9月5日,201.11,200.17,201.19,199.41,102.18M,0.45%
2014年9月8日,200.59,200.92,201.21,200,64.15M,-0.26%
2014年9月9日,199.32,200.41,200.55,198.91,88.59M,-0.63%
2014年9月10日,200.07,199.43,200.2,198.77,67.25M,0.38%
2014年9月11日,200.3,199.27,200.33,199.12,66.82M,0.11%
2014年9月12日,199.13,200.1,200.12,198.56,117.48M,-0.58%
2014年9月15日,198.98,199.16,199.32,198.38,76.40M,-0.08%
2014年9月16日,200.48,198.61,200.84,198.5,116.20M,0.75%
2014年9月17日,200.75,200.77,201.68,199.75,151.27M,0.13%
2014年9月18日,201.82,201.36,201.85,201.1,94.99M,0.53%
2014年9月19日,200.7,201.52,201.9,200.29,121.65M,-0.55%
